SENTENCE,SENTIMENT
"But even if rogue operators try to sidestep rules, nations should agree what practices are unacceptable.",-1
"They say the risks are negligible because the mosquitos are sterile and will die within months, but conservation groups and local activists say the technology should not be tried out on an economically vulnerable region.",-1
"Hemoglobin genes are only active in the precursors of red blood cells, which are derived from bone marrow stem cells, and the genes are only active for about four or five days until mature red blood cells form, Dr. Benz said.",0
"That, in turn, led to the idea, says Dr Sternberg, that it might be possible to harness jumping genes in gene editing.",0
"So an elite team of rescuers must don scuba gear, access the lab through an airlock, and bring the specimens back before the facility's oxygen runs out.",0
"""That's the only way we're going to learn"" if it's safe or feasible, he said.",1
His speaking invitations evaporated.,-1
"In the other corner, is National Grid's Granite State Power Link, unveiled just this week.",0
"""The beauty is that plants are already doing this on such a large global scale, that if we can just tap into that a little bit, we can make a big impact.""",1
"Because this kind of stem cell can morph into virtually any kind of cell, it might be able to treat a variety of diseases.",1
Then factors in their environment would coax them to become the specific type of stem cells capable of giving rise to blood.,0
"Francisco Ramos-Carrizosa  EMPLOYER: MITRE Corp., Bedford  JOB: Mechanical engineer  It's not easy to juggle a demanding work schedule and completing my master's degree, but I'm managing to get it done.",1
"""We went from having two bulls that were polled to having two 2,000-pound drugs,"" Van Eenennaam said.",0
Cystic fibrosis is another inherited disease that reduces life expectancy.,-1
"  T he biomedical scientist and entrepreneur Craig Venter recently described today's approach to healthcare as ""medieval"".",-1
"She explained that her patent would cover the use of CRISPR in all cells, while the Zhang patent would more narrowly cover applications of CRISPR in plant and animal cells.",0
"And when Joung (a cofounder of genome-editing company Editas Medicine) and his team tested how well their tweaked editor fixed the mutation that causes beta thalassemia, also in human cells growing in the lab, it beat the original hands down, causing “undetectable"" levels of off-target editing.",1
"""So I have the same children that I would have had if they had come from my own eggs.",1
The Patent Trial and Appeal Board must decide whether the parties' claims add up to inventions that truly are in conflict.,-1
The embryos they modified were not allowed to develop for more than a few days and were not implanted in a womb.,0
This article was originally published on theconversation.com.,0
"Among other things, the researchers will be experimenting with a process known as synthetic lethality, which seeks to focus on the loss of tumor-suppressing genes.",0
"""That information is really important, because once we learn how those sense receptors work, then we can manipulate them with repellents,"" he said.",1
"Now the time has come that policy makers have to realise that they have to do something else.""",-1
"Cheyenne and Mari, a lesbian couple from Angola, contend with the intransigence and bureaucracy of the immigration system as they seek asylum.",-1
"During the week, Dr. Bermingham usually works out from 7 to 8:30 a.m. in a home gym.",0
You can send a free text message and get a reply in a few seconds verifying [that a medicine] is authentic.,1
"The study was supported in part by the National Institute of Allergy and Infectious Diseases (NIAID), a component of the National Institutes of Health, and United Biopharma, Inc.",0
"It says it will be many years, ""if ever"", before it has something ready to commercialise.",-1
That is exactly what is now being done with bcis.,0
Endy could not be reached for comment Thursday night.,0
Swiss-based Crispr priced its 4 million share offering at $14 a share.,0
The result is a mushroom more resilient to automated harvesting and long storage periods.,1
"The Hastings Center, a nonprofit focused on bioethical issues, has examined the ethical questions raised.",0
"  In new studies that demonstrate how quickly genetics science is advancing, researchers used the Crispr gene-editing system to make long-sought alterations in animals, with potential relevance for humans' health.",1
"Using different technology, Oxitec Ltd. has developed what it calls a ""self-limiting"" Aedes aegypti mosquito, a male genetically modified to produce offspring that don't survive or reproduce.",0
"  THE 1997 FILM ""Gattaca"" predicted a near future in which cities are powered by vast solar thermal arrays, humans launch manned missions to Saturn's moons, and doctors design super smart and strong babies.",1
"Crops altered by CRISPR, such as a mushroom that doesn't turn brown when cut or drought-tolerant corn being developed by DuPont Pioneer, do not need regulatory approval as GMOs do.",0
"Other cofounders include George Church, a geneticist at Harvard Medical School, Dr. Feng Zhang, a brain researcher and professor of biomedical engineering at MIT, and other specialists who have published some of the leading research on what's known as genome engineering.",1
"The summit statement acknowledged the many ""promising and valuable"" uses for gene editing of somatic cells - which don't transmit the human genome to succeeding generations.",1
Duchenne patients and their families won't be the only ones anxiously asking that question.,-1
The industry has set out its first collective response to some of those fears.,-1
"In 2014, Shapiro taught a graduate class on de-extinction and asked each student to make a case for bringing one animal back from the dead.",0
That effort got a boost this week.,1
"The Wall Street Journal found at least two other hospital trials, including one beginning in 2015 -- a year earlier than previously reported.",0
"Bayer in December joined with Versant Ventures, a health care investment firm, in a $225 million initial funding round for Blue Rock Therapeutics, which is trying to use stem cells to regenerate brain tissue and heart muscle in patients who have suffered heart attacks.",1
"More unpleasant scientific surprises are looming, several scientists said.",-1
"""Everyone knows there are conflicting claims.""",-1
Zhang asked.,0
"Peppering descriptions of plant genetics with words like ""fun"" and ""exciting,"" she and Eric Hoeft, a molecular geneticist for the vegetable seed company HM.Claus Inc., talked about their own gardens and ""tools"" used to ""develop"" new plant varieties, similar to phrasing recommended by the industry.",0
"So after dinners with his wife and young daughter at their apartment in Cambridge, Zhang often returns to his lab, working at the bench with his students until after midnight.",0
"This inexperience has not, apparently, stopped him putting together what is, in effect, a private human-genome-editing project.",-1
"The squabs of this flock will be born with the Cas9 gene in every one of their cells, allowing scientists to edit their offspring with DNA from the extinct passenger pigeon.",0
"The expenses of CERN, which mostly focuses on particle physics, total roughly $50.5 billion.",0
Holders of patents to the Crispr gene-editing technology are willing to join a world-wide patent pool.,1
"Three of dna's 64 codons describe not an amino acid but an action: specifically, ""stop"".",0
"So naturally when my wife and I learned that I had inherited the mutation that causes the disease, we were devastated.",-1
"The question cut to the quick-in medicine, risky interventions for healthy people are unacceptable.",-1
I'm already batting .500 and it's still 2017.  Credit: By Andy Kessler,0
The third mutation arose in an even more recent ancestor.,0
"I may not have loved the final product, but I respected the process.",0
Follow Amy Harmon on Twitter: @amy_harmon  Like the Science Times page on Facebook.,0
The findings were published Sunday in the journal Environment International.,0
"Rothschild took the argument even further, wondering whether someone could attempt to de-extinct a Neanderthal for commerce or simply in the name of science.",0
from even considering mitochondrial replacement therapy.,0
"joshua.miller@globe.com  TRUMP INSPIRES WOMEN TO RUN FOR OFFICE, via Stephanie Ebbert of the Boston Globe: ""Megan Beyer always planned to run for office someday.",0
"""From the patient's perspective, [the therapeutic] would be an injection of some sort - maybe an IV, maybe a local injection,"" Bosley said.",0
"In 2014, he became the first living Nobelist to sell his medal, citing a depleted income from having been designated a “nonperson.’’  But his remarks have lingered.",-1
The results prompted Boston-based Vertex to say it plans to launch one or two late-stage clinical trials of the biotech's three-drug combination in the first half of next year.,0
"But some experts say it will take a lot of time and money to scale up, and that it is not clear if the technique reduces disease transmission.",-1
Some technologies are just misapplied.,-1
"In one experiment, scientists lost track of patients whose DNA was edited , while another trial didn't investigate the death of a gene-edited patient.",-1
"Norfolk, the second-largest railroad in the eastern United States, had called that offer ""grossly inadequate"" and said regulators probably would scuttle the deal.",-1
"They know that Doudna helped invent an extraordinary new gene-editing technology, known as CRISPR.",1
"He apologized publicly and ""unreservedly,"" and in later interviews he sometimes suggested that he had been playing the provocateur -- his trademark role -- or had not understood that his comments would be made public.",-1
"Trang Tieu  EMPLOYER: C4 Therapeutics, Cambridge  JOB: Cell pharmacology research scientist  It's a bit sci-fi here, as with most early-stage drug discovery companies.",0
"I think that is what the Nobel will be for.""",1
He plans to work up to a 25-pound vest while increasing his daily mileage.,0
"Ms. Doudna remains opposed to nontherapeutic editing, often characterized as ""designer babies,"" and she says regulators won't allow it, at least in the U.S.",-1
One concern is that Dr He's treatment of the embryos may have resulted in mutations in non-target genes and other undesired changes in the DNA of the babies concerned.,-1
Alex Beam's column appears regularly in the Globe.,0
"""I think it's a species competition between us and the mosquito.",-1
"The result is, in principle, a precise means of knocking out proteins involved in particular disease.",1
"For at least 40 weeks after the incubated stem cells were returned to their mouse owners, the stem cells continued to regenerate themselves and give rise to many blood-cell types without provoking immune reactions.",1
"While the gene-editing templates match a specific sequence, it is possible that the same sequence occurs elsewhere in the genome or they will match similar sequences, and the DNA will be sliced in those places, too, with unknown consequences.",-1
"Sutherland acknowledges that he also felt the show at times fell short during the first two seasons: ""There were times when we struggled to reach its potential.",-1
But there is a big difference between trying to insulate the scientific establishment from criticism and making science fit to be a meaningful participant in society.,-1
"Scientists are ""facing a daunting breeding challenge,"" Smith says.",-1
"Biotechnology has become a playground for entrepreneurs, who can pursue their dreams relatively unscrutinised.",0
"Lander attributes the genome project's ""huge success"" to, among other things, the fact that ""it had the flexibility to bring in people with different perspectives and skills.""",1
"These small creatures eat seeds, fungi, insects, and other invertebrates, and are in turn eaten by snakes, owls, hawks, bobcats, foxes, coyotes, and other animals.",0
"""Any death in any clinical trial must be fully investigated,"" said Berkeley's Dr. Doudna.",-1
"Neon Therapeutics, Gritstone Oncology, Genocea Biosciences and other biotech firms are all pursuing the creation of personalised vaccines based on the mutations in an individual tumour.",0
"The various Crispr companies, some of them founded by scientists at UC Berkeley and the Broad Institute, are hoping to develop treatments for diseases like hemophilia, cystic fibrosis and muscular dystrophy, among others.",1
"The lowest crude oil prices in 13 years, strong supplies, and lesser demand in the winter are all contributing to the low prices.",1
"Credit: By Meghana Keshavan STAT Illustration  Caption: Craig C. Mello (above, with daughter Victoria) showed round-worm genes could be silenced -- a finding with stunning medical implications. Phillip Sharp showed RNAi can work in mammalian cells.",1
 Headnote  Genome engineering has created an extra-muscular beagle.,0
It licensed from Sangamo zinc fingers for use in research applications.,0
It is changes in germ-line cells that create heritable alterations.,0
"Investors want to see if Intrexon's partner, the energy giant Dominion, commits to building a commercial plant, which Mr. Kirk hopes could happen as early as this year.",1
"Most of China's launches, though, are not scientific; they are for communications, Earth observation-and military intelligence.",0
"“The data are not new,"" he told the Globe in a hotel conference room during the J.P. Morgan Healthcare Conference, the biggest annual investors event in biotechnology.",0
"No CRISPR drug yet exists, but if CRISPR turns out to be as important as scientists hope, commercial control over the underlying technology' could be worth billions.",1
"The pharma sector is increasingly focused on how to use data generated by the sequencing of the genome, and the computational power to analyse it, to improve the odds of finding a successful drug and boost the industry's longstalled productivity.",1
These plastids allow resistance to pass not just from individual to individual but from species to species.,0
"With Crispr ""it takes days to weeks.""",0
"The analysis hinted at a possible lengthening of survival in patients who reported greater physical activity, but the data were not statistically significant.",0
Scientists who studied them began to refer to them as clustered regularly interspaced short palindromic repeats - CRISPRs.,0
"GENES THAT WERE SILENCED DUE TO AGING WOULD BE TURNED ON, THANKS TO OUR WITCHCRAFT,!",-1
"And tests in laboratories suggest that, given the opportunity, they can infect human cells as well.",-1
"To further complicate matters, some of the gene variants now linked with disease probably don't cause as many problems in other environments.",-1
"“For human therapeutics, the bar is much higher,"" said biochemist Erik Sontheimer of the University of Massachusetts Medical School.",0
"To make xenotransplantation succeed, PERVs have to go.",0
The WHO chief said the $2.7 billion committed annually to anti-malaria efforts is less than half of what is needed.,-1
"Any variation in the bacteria's genome that makes one of these drugs a less effective killer will be of benefit to the bugs that have it, and as a result it will spread through the population.",0
"Church said that the organizers ""sent out a fresh set of invitations later"" with updated wording.",0
"""All of the Broad's fundamental patents in the area depend upon those applications,"" the statement said.",0
There may be times when editing human embryos would make medical sense.,1
But that comes with risks.,-1
misfires.,-1
In the West there has been an increasing concern over the past couple of decades that basic biology led by independent academic researchers has drifted too far from potential medical application.,-1
"If this repair occurs in a germ line cell, both eggs and sperm will carry the endonuclease gene together with any cargo genes that genetic engineers may have attached to it.",0
Where did your passion for writing come from?,1
But the supply of volunteers is limited.,-1
"Scientists around the world routinely edit the genes in mice for research, adding mutations for human diseases such as autism and Alzheimer's in a search of possible cures.",0
"In addition, there are already common and highly effective methods to prevent transmission of HIV from a parent to an unborn child.",1
"It remains to be determined if they can get their own patents and, if so, how broad they will be.",0
The results were weighted to reflect the demographics of the US adult population.,0
"Co-host Colin Jost, not co-host Michael Che, delivered the joke, and he called the show ""15 Miles Outside of Atlanta,"" not ""15 Miles North of Atlanta.""",0
"As the climate grows more severe and unpredictable, we will need seeds adapted to this kind of farming, and to their environments -- precisely what a centralized, chemical-driven industry is not built to provide.",-1
Doctors are planning to test Crispr therapies in cancer.,0
"""The number one thing [consumers] want is the brand as it is; they don't want it to change,"" she said.",0
"Eric Lander, head of the Broad Institute, published a long, almost novelistic article titled ""The Heroes of CRISPR"" in January in the journal Cell.",1
But the genetic science of sexuality shows us that neither effort would work.,-1
"But when people are even somewhat familiar with the basic idea of altering genomes, they're less opposed to germline editing.",1
"There's a lot of moving parts in construction management: scheduling, budgeting, pricing, dealing with subcontractors, and much more.",0
"They took breaks for ramen noodles, Chinese take-out or burritos, and, once, to crash a party at Zhang's apartment complex and try their first tequila shots.",0
"They swam much closer to tank-mates, and even began to touch.",0
And they discover that they each carry one copy of the sickle cell gene.,-1
"After studying the gas giant for 13 years, she explained, ""here's a chance for Cassini's molecules to become a part of Saturn.""",0
"""It would be naive to think that that won't happen at some point,"" she says.",-1
"Linsley was doing his PhD in 2012 — which, he said, was “an important year for nerds like me.""",1
"When reinfected with one of these viruses, bacteria can create copies of these genetic snippets, which zip up letter for letter with the new virus's DNA-signaling to a specialized cutting enzyme that it should attach itself and close, pincer-like, onto the viral genome and sever it.",0
CREDIT: HANNAH KUCHLER — SAN FRANCISCO,0
 A new incubator space for life science companies has opened in Kendall Square.,0
The move comes amid growing concerns that the logjam over rights to Crispr technology may hinder breakthroughs in disease treatment.,-1
"""Nessan is high drive, high energy, an entrepreneur with an acute understanding of what it takes to build a company.",1
"While Doudna and French microbiologist Emmanuelle Charpentier are commonly cited as the inventors of CRISPR/Cas9, we can actually thank modest, single-celled bacteria for this revolutionary genome editing system.",0
"Elephants, not mice  Working with elephants is not as simple as working with lab mice.",0
"Most of us wore braces, spent our childhoods in and out of orthopedic units and had bone surgeries.",-1
"""If [we do it] by traditional breeding, that can be rolled out much faster than if genetic engineering is involved, because the regulatory aspect might take longer,"" says Busch.",-1
"Since then, though, things have improved.",1
"Such questions will be debated by the Global Observatory for Gene Editing, which will be launched next spring in Cambridge, Massachusetts.",0
"Chu's graduate thesis focused on robots that can combine different kinds of sensory information from their surroundings-visual, auditory, kinetic-to guide their actions when they encounter a new situation.",0
"Other top seed companies, including Monsanto, Bayer and Syngenta AG, aren't far behind.",1
Will its current status turn it into a museum commemorating past achievements or can it continue as a powerhouse of creativity and cultural change?,1
"""We ought to try not to do it,"" says Mr. Kaebnick.",-1
NeuroPace's closed-loop epilepsy system creates a regulatory precedent that others can follow.,0
"Like everyone who met him, I was dazzled by his intellect, his humor, his wisdom, his humility and his total lack of pretension.",1
"Also in contrast to the experiments in China, those led by Mitalipov reportedly produced very few “off-target"" effects, or editing of genes that CRISPR was supposed to leave alone.",1
"Yoghurt manufacturers knew they were important, not least because bacteriophages can destroy yoghurt cultures.",1
"In classic Mendelian genetics, an individual organism has a 50-50 chance of inheriting a gene.",0
Seek advice from people who may know more.,0
"Consider CRISPR/Cas9, an exciting new technique for editing DNA that has huge potential applications for medicine but emerged out of basic, government-funded, curiosity-driven research on how bacteria protect themselves against viruses.",1
"With a deep presence in Cambridge, we look forward to forming innovative partnerships with the potential to change the practice of medicine.",1
"The consensus decision rejected the idea of an international moratorium on gene drive research, including experimental releases into the environment.",-1
"GNC has a total enterprise value of about $3.1 billion, according to Standard & Poor's Capital IQ.",0
"But air quality can vary greatly within cities depending on traffic, building density, and weather conditions.",0
And this is more or less what Dr He (pictured above) seems to have done.,0
Faster sharing is part of an open science movement changing biology.,1
"The world's 7.6 billion people practice an estimated 4,200 religions, each with various ideas about the soul and human destiny.",0
"To date gene therapies have been designed to fix everyday sorts of cells, such as those of the blood, or the retina, or the pancreas.",1
"In recent years, more than half of PTAB's decisions have been upheld.",0
"They may include headaches, personality changes, nausea, and symptoms similar to those of a stroke.",-1
Send comments to magazine@globe.com.,0
"The third method is to capture carbon dioxide emissions at their source, for example in the smokestack of a power plant, then inject it underground.",0
"Fulcrum is working with Horizon Discovery Group, a contract-research organization that has licenses from various parties to use Crispr.",0
"Many people break up the trip with an overnight stay, often in Los Angeles.",0
"The venture with closely held Crispr Therapeutics aims to find new drugs for conditions including hemophilia, heart disease in infants and a form of blindness called Stargardt, the companies said.",0
"I flew out to California [from Gainesville, Florida] with my grandparents on my 13th birthday to go out to Cupertino.",0
The second is an enzyme -- usually Cas9 -- that serves as a pair of molecular scissors.,0
It was a probing report with fresh data.,1
  The following article is part of our list of 2016 Game Changers.,0
"""People think you can cobble it together from scrap parts, and undergrads can make it in a semester, and you can give it away for free.",0
-Jonathan W. Rosen  PATRICK 27  HSU Salk Institute for Biological Studies  COUNTRY OF BIRTH: TAIWAN  Making CRISPR more flexible to treat brain disease.,1
"In recent years, machines have defeated humans in checkers, chess, and Go-known as ""perfect information"" games, where both players know the exact state of play at any given point.",0
The modified cells would then be infused back into the patients.,0
Understanding the exact cause of species' extinction can help scientists protect living animals and ecosystems.,1
Removing PD-1 allows T cells to attack cancer cells vigorously.,1
"For the last several years, DeGennaro has been trying to understand how mosquitoes find humans to bite, and which genes help them do it.",0
These are typically kids that are born and they lack certain enzymes that most people have to help them break down specific toxins in their bloodstream.,-1
Climate change is where we have this total need to do it now.,-1
"A major report from the National Academy of Sciences and the National Academy of Medicine, published Tuesday, said gene editing in humans that could be passed along to future generations should be used only under very limited circumstances to block devastating congenital diseases.",-1
"While that raises the prospect of people with nefarious intent gaining access, the greater concern with amateur enthusiasts is that someone might make a seemingly innocuous gene edit in a fungus, insect or plant that turns out to wreak havoc on the environment.",-1
"Director of Science at the Ifakara Health Institute in Dar es Salaam, Tanzania, Fredros Okumu, said: “Gene drives are unlike any ecological fix ever tested before.",0
"But Prof Whitelaw said: ""A moratorium would prevent the research that is required for us to understand the potential of gene drives.",-1
But all plants produce some suberin - meaning it should be possible to find a gene that would prompt them to increase production.,1
But that has not stopped investors from piling on.,0
"And while some experts have argued that the practice could be a useful conservation tool, others have warned that its impact on the environment could be devastating should it get out of control.",-1
"A 45-minute hearing on Tuesday morning before a three-judge panel of the Patent Trial and Appeal Board, the arm of the US Patent and Trademark Office that hears challenges to patent decisions, offered the only oral arguments in the bitter fight over whether UC or the Broad deserves key patents on the CRISPR-Cas9 genome-editing technology.",-1
"This is great recognition for the field of circadian rhythms that are intimately linked to our health and disease, including diabetes, obesity, cancer and cardiovascular disease.""",-1
"When Clarence Cook Little, who founded the Jackson Laboratory, started looking into the causes of cancer in humans in the 1900s, appropriately-bred mice were the obvious way forward.",0
"Outside of Penn Station, in Manhattan, a 10-story-tall advertisement for Ketel One, a brand of vodka, declares that it is ""made with 100% NON GMO grain.""",0
"Paul Knoepfler, a biologist at the University of California, Davis and author of the new book ""GMO Sapiens,"" told me that his lab started using Crispr as a verb early on.",0
"Ray Kurzweil, one of the tech industry's leading futurists, has described three scientific and technological “bridges"" that might lead to radically longer life.",1
The official did not indicate whether He was charged with any crimes.,-1
caitlin.dewey@washpost.com,0
But there was a problem with X and Y.,-1
"When Van Eenennaam was traveling in China a few years ago, she visited a lab where the omega-3 gene had been inserted into cows.",0
"This was all the more disheartening because other researchers were consolidating an ever-growing list of genes definitively linked to non-psychiatric illnesses, such as cystic fibrosis in 1989 and Huntington's disease in 1993.",-1
Mr. James is terminally ill.,-1
"Tilray Inc.--Down 5% premarket: The Canadian cannabis company said that it has sold $450 million in convertible debt to ""qualified institutional buyers"" in the U.S. and Canada.",0
This combination means that innovators like Dr. Doudna can make discoveries that become just ordinary for the next generation.,1
"He said he had approval from a Chinese ethics board to create pregnancies using human embryos that he had genetically edited, a type of experiment that had never been carried out before and is illegal in many countries.",-1
he indicated that he hoped to set an example to use genetic editing for valid reasons.,1
"In the lab, Crispr has helped correct mutations in human cells that cause diseases like sickle cell anemia or cystic fibrosis.",1
  Scientists at the Massachusetts Institute of Technology and Rockefeller and Harvard universities have found a new method of editing DNA with great precision.,1
"China's Cosco Shipping agreed to buy smaller rival Orient Overseas for $6.3 billion, establishing an Asian container giant.",0
"HarMoniCare said it was investigating the authenticity of the approval document, posted on a Chinese registry of clinical trials and dated March 2017.",0
"“I reject his views as despicable,” Dr. Lander wrote to Broad scientists.",-1
How are scientists addressing this controversy?,-1
"The technology is excitingly new, but the debate isn’t.",0
We also found a pretty good explanation for why all that water vanished.,1
"""These C02 reduction technologies don't yet exist at the scale that we need,"" admits Janos Pasztor, former climate change chief at the UN, now head of the Carnegie Climate Geoengineering Governance Initiative.",-1
Such a hard-hearted approach is rarely expressed today.,-1
"The developments underscore the rapid pace at which scientists have moved from merely describing the sequence of the human genome to manipulating it in fine detail, said Don Conrad, a geneticist at Washington University in St. Louis.",1
"He says he's keeping an open mind, and doesn't favor either fuel source yet.",0
"""Someday it will be.""",0
"The Howard Hughes institute, based in Chevy Chase, Md., also names a cadre of seasoned medical investigators every three years who divvy up millions of dollars to do whatever research they want.",1
"""It is very clear that people will try to do gene editing in humans,"" said Rudolf Jaenisch, a stem cell biologist at the Whitehead Institute in Cambridge, Mass., who was not a member of the Doudna group.",0
"Broadly speaking, companies argue that these plants should be unregulated because they could have been created by conventional breeding.",0
"""I was doing basic research ... to test the feasibility,"" he says.",0
  Battle lines hardened Friday in an ongoing technology fight over a promising gene-editing tool that could potentially be worth billions of dollars.,-1
Credit: By Robert Weisman Globe Staff,0
"However it is produced, the Ideal Plant would have to be planted on a very, very large scale — across millions of acres—to have its intended effect.",-1
"But just as quickly as he blows my mind, he puts a damper on the excitement.",-1
Wojciech Zaremba led a team that used machine learning to get a robot hand to teach itself to pick up a toy block in different environments.,0
"Take the roller coaster ride of RNA interference, a Nobel-winning technology that received heaps of accolades and billions of dollars in funding, only to stumble badly when the science didn't deliver actual drugs -- at least, not fast enough for investors.",-1
"He doesn't know why, though he postulates that the MSTN gene somehow contributes to skeletal formation.",0
"Many players laying claim to the key patent have launched companies to pursue research and licensing, creating a thicket of licensing options for biotechs and institutions to consider, depending on how they want to use the technology.",0
"It is one thing to question whether an afflicted child should endure a short, painful and miserable life.",-1
The reference made to Junjiu Huang's use of Crispr to correct the mutated gene responsible for a blood disorder suggests an additional comment.,0
Zejula has the potential to become a blockbuster treatment with more than $1 billion in annual sales.,1
Such efforts must expand.,1
The flurry belies the fact that the companies don't actually know yet who owns the intellectual-property rights to the technology.,-1
"When Trump's 2019 budget documents emerge in February, we'll see whether it's possible for the CDC, an agency that tracks the health of all Americans, to avoid any reference to ""vulnerable"" populations.",-1
"BLOCKCHAIN: This one should only be broken out in extreme conversational emergencies, for as ostensibly fascinating as the technology is that undergirds decentralized cryptocurrencies like Bitcoin, and as vast as its potential to redefine the infrastructures of finance, commerce, and even voting may be, it's also weapons-grade boring (and could very well be hot garbage).",-1
(These might include conventional mutagenesis in which chemicals Continued on page 3 Cutting edge: a computer-generated visualisation of Crispr gene editing Continued from page 1 are used to change an organism's DNA without inserting new genes.),0
"— ROBERT WEISMAN  HEALTH CARE Partners to use wind power to help cut costs, emissions  Partners HealthCare, one of Massachusetts' largest companies and biggest energy users, has signed an agreement with a New Hampshire wind farm to help power its hospitals and other facilities.",1
"A more troubling aspect is that these technologies would probably remain costly, making gene customization available only to the wealthiest among us.",-1
"AFTER THE OPEC oil embargo of the mid-1970s caused gas shortages and price hikes, government-funded biologists and engineers across the country began to study an unlikely alternative: algae fuel.",0
--  deborah.netburn@latimes.com  Twitter: @DeborahNetburn  Caption: PHOTO: SCIENTISTS are hopeful but can't yet say whether CRISPR could help humans.,1
"The embryos, created for research, weren't implanted in a woman, according to the researchers, who reported their findings Wednesday in the journal Nature.",0
"The Gates Foundation is investing $75 million in the Target Malaria project, partly to help prepare laboratories in Mali, Burkina Faso and Uganda, lay the groundwork to seek regulatory approvals and train staff to conduct field trials.",1
"Hence a slogan heard increasingly in the Aids field: U=U, meaning undetectable equals untransmittable.",0
Researchers at the University of California and other US universities are working on different gene drives that would make populations of Anopheles mosquitoes resistant to infection by Plasmodium parasites and unable to transmit the disease to humans.,1
"If we can build a synthetic genome -- and eventually, a living thing -- from the ground up, then what does it mean to be human?",0
"That is true in theory, but in practice there are obstacles to creating a perfect replica, says Kehkooi Kee of Tsinghua University.",-1
"-- Karen Kaplan  --  TESS begins hunt for nearby planets  TESS, NASA's Transiting Exoplanet Survey Satellite, is set to launch in December 2017 and will search the sky for exoplanets -- particularly those that could be in their home star's habitable zone.",0
"Technology may not yet have developed a direct solution for how irritating your climate-change denier Uncle Gerry is (up to and including how he spells “Jerry""), but one thing technology never comes up short on is useful distractions.",-1
"Mello, a researcher, and Fire, who by then was a professor at Stanford, won the award in 2006 -- a mere eight years after their success in roundworms was first announced to the world.",1
"But in the Middle Ages, some Christians came to believe that humankind had a role to play in bringing about the resurrection, with the help of science and technology.",1
Other philanthropists take a dim view of humanity's ability to cut carbon emissions.,-1
"In many ways the successor to NASA's planet-hunting Kepler space telescope, TESS also will use the transit method to pick out planets by the light they block as they pass in front of their stars.",0
While they both had steady incomes - she as a government contractor in information technology and he as an aerospace engineer for the Navy - they were far from wealthy.,-1
"It recommends referring to ""plant breeding methods,"" not ""techniques or technologies.""",0
"“And you know that the complications of the chronic transfusions will hit you sooner or later.""",-1
"""We've known for decades that hemoglobin is different in a fetus -- it doesn't sickle, and it works as well as adult hemoglobin,"" said Dr. Stuart Orkin, a researcher at Harvard University who found the hemoglobin switch.",0
"In a statement late on Monday, China's national health commission said it has asked the health commission in southern Guangdong province to investigate Mr.",-1
"While experts recognized a number of potential risks, they endorsed more research — possibly including “highly controlled field trials.”  So what exactly would happen if a gene drive were set loose in the wild?",1
Those findings sparked concerns about the effects gene-drive-carrying organisms could have if they were ever to be released into the world.,-1
"Hoover Institution  Stanford, Calif.  ---  Drs.",0
"Sarah Chan, a researcher at the Usher Institute for Population Health Sciences and Informatics at the University of Edinburgh, says ""the HFEA decision should be viewed in a very positive light, not just because important research will be allowed to proceed, but because it does so as the outcome of a regulatory process that enables policy to respond to the rapidly changing landscape of science while maintaining ethical oversight.""",1
